Employee_id,Age,Gender,Department,JobRole,Attrition,DistanceFromHome,JobLevel,JobInvolvement,MonthlyIncome,OverTime,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,FirstName,LastName
25,34,Male,Research & Development,Research Scientist,Yes,6,1,3,2960,No,0,8,2,4,2,3,Michale,Spinka
26,53,Female,Research & Development,Manager,No,5,5,3,19094,No,1,26,3,14,13,8,Jenifer,Klocko
27,32,Female,Research & Development,Research Scientist,Yes,16,1,1,3919,Yes,0,10,5,10,2,7,Lela,Ondricka
28,42,Male,Sales,Sales Executive,No,8,2,3,6825,No,1,10,2,9,7,2,Cleveland,Kerluke
29,44,Female,Research & Development,Healthcare Representative,No,7,3,2,10248,No,1,24,4,22,6,17,Janelle,Kemmer
30,46,Female,Sales,Manager,No,2,5,3,18947,No,0,22,2,2,2,1,Abigayle,Torp
31,33,Male,Research & Development,Laboratory Technician,No,2,1,3,2496,No,0,7,3,1,1,0,Wilton,Hackett
32,44,Male,Research & Development,Healthcare Representative,No,10,2,3,6465,Yes,0,9,5,4,2,3,Clement,Hauck
33,30,Male,Research & Development,Laboratory Technician,No,9,1,2,2206,No,0,10,5,10,0,8,Eleazar,Johns
34,39,Male,Sales,Sales Representative,Yes,5,2,3,2086,No,1,19,6,1,0,0,Torrey,Jast
35,24,Male,Research & Development,Research Scientist,Yes,1,1,3,2293,Yes,1,6,2,2,0,0,Guido,Grady
36,43,Female,Research & Development,Research Scientist,No,2,1,4,2645,No,2,6,3,5,3,4,Shanel,Bechtelar
37,50,Male,Sales,Sales Representative,Yes,3,1,2,2683,Yes,0,3,2,3,2,2,Blake,OHara
38,35,Female,Sales,Sales Representative,No,2,1,3,2014,No,0,2,3,2,2,2,Dianna,Mitchell
39,36,Female,Research & Development,Research Scientist,No,5,1,2,3419,Yes,1,6,3,1,1,0,Viviane,Emmerich
40,33,Female,Sales,Sales Executive,No,1,2,4,5376,No,2,10,3,5,3,3,Maxie,Schiller
41,35,Male,Research & Development,Laboratory Technician,No,4,1,3,1951,No,1,1,3,1,0,0,Cullen,Swaniawski
42,27,Female,Research & Development,Laboratory Technician,No,2,1,3,2341,No,1,1,6,1,0,0,Citlalli,Ruecker
43,26,Male,Research & Development,Laboratory Technician,Yes,25,1,1,2293,No,0,1,2,1,0,1,Lucious,Schmitt
44,27,Male,Sales,Sales Executive,No,8,3,3,8726,No,0,9,0,9,8,7,Christop,Moen
45,30,Female,Research & Development,Laboratory Technician,No,1,2,3,4011,No,0,12,2,12,8,7,Myra,Wilderman
46,41,Female,Research & Development,Research Director,Yes,12,5,3,19545,No,0,23,0,22,15,8,Edwina,Wyman
47,34,Male,Sales,Sales Executive,No,23,2,3,4568,No,0,10,2,9,5,7,Korey,Harris
48,37,Male,Research & Development,Research Scientist,No,19,1,3,3022,No,0,8,1,1,0,0,Donald,Hermiston
49,46,Male,Sales,Sales Executive,No,5,2,3,5772,Yes,0,14,4,9,6,8,Major,Steuber
50,35,Male,Research & Development,Laboratory Technician,No,8,1,4,2269,No,0,1,2,1,0,1,Kaley,Strosin
51,48,Male,Research & Development,Laboratory Technician,Yes,1,3,2,5381,Yes,0,23,2,1,0,0,Tevin,Swaniawski
52,28,Male,Research & Development,Laboratory Technician,Yes,5,1,3,3441,Yes,0,2,3,2,2,2,Bartholome,Heidenreich
53,44,Female,Sales,Sales Executive,No,1,2,3,5454,Yes,1,9,2,4,3,3,Magnolia,Heidenreich
54,35,Male,Research & Development,Healthcare Representative,No,11,3,2,9884,Yes,1,10,3,4,0,3,Fred,Kassulke
55,26,Female,Sales,Sales Executive,No,23,2,2,4157,Yes,1,5,2,2,2,0,Florine,Reinger
56,33,Female,Research & Development,Research Director,No,1,3,3,13458,Yes,0,15,1,15,14,12,Carolina,Johns
57,35,Male,Sales,Sales Executive,No,18,3,3,9069,No,1,9,3,9,8,8,Camden,Howell
58,35,Female,Research & Development,Laboratory Technician,No,23,1,3,4014,Yes,1,4,3,2,2,2,Lysanne,Kovacek
59,31,Male,Research & Development,Laboratory Technician,No,7,2,3,5915,No,1,10,3,7,7,7,Arden,Krajcik
60,37,Male,Research & Development,Manufacturing Director,No,1,2,2,5993,No,1,7,2,7,5,7,Rahul,Mayer
61,32,Male,Research & Development,Manufacturing Director,No,1,2,3,6162,Yes,1,9,3,9,8,8,Saul,Dickinson
62,38,Female,Research & Development,Laboratory Technician,No,29,2,3,2406,No,0,10,2,10,3,9,Hattie,Schroeder
63,50,Female,Research & Development,Research Director,No,7,5,2,18740,Yes,1,29,2,27,3,8,Brigitte,Hammes
64,59,Female,Sales,Sales Executive,No,25,3,3,7637,No,0,28,3,21,16,9,Dolores,Huels
65,36,Female,Research & Development,Healthcare Representative,No,8,3,3,10096,No,3,17,2,17,14,8,Penelope,Stamm
66,55,Female,Research & Development,Manager,No,8,4,3,14756,Yes,3,21,2,5,0,2,Jeanne,Roberts
67,36,Male,Research & Development,Manufacturing Director,No,11,2,2,6499,No,0,6,3,6,5,3,Dewayne,Kiehn
68,45,Male,Research & Development,Research Scientist,No,7,3,3,9724,No,1,25,2,1,0,0,Alfonzo,Cummings
69,35,Male,Research & Development,Research Scientist,No,1,1,3,2194,No,1,5,2,3,2,2,Garry,Senger
70,36,Male,Research & Development,Research Scientist,Yes,9,1,2,3388,Yes,1,2,0,1,0,0,Justen,Jacobi
71,59,Female,Sales,Sales Executive,No,1,2,2,5473,No,0,20,2,4,3,3,Hailie,Zboncak
72,29,Male,Research & Development,Research Scientist,No,2,1,3,2703,No,1,6,3,5,4,4,Monty,VonRueden
73,31,Male,Research & Development,Research Scientist,No,1,1,3,2501,No,0,1,4,1,1,0,Karl,Becker
74,32,Male,Research & Development,Research Scientist,No,1,2,3,6220,No,2,10,3,10,4,9,Percy,Johnston
75,36,Female,Research & Development,Laboratory Technician,No,6,1,4,3038,No,0,5,3,1,0,0,Madeline,Miller
76,31,Female,Research & Development,Manufacturing Director,No,8,2,3,4424,No,0,11,2,11,7,8,Anne,Hessel
77,35,Male,Sales,Sales Executive,No,1,2,2,4312,No,0,16,2,15,13,8,Oscar,Wiegand
78,45,Male,Research & Development,Research Director,No,6,3,3,13245,Yes,0,17,3,0,0,0,Andre,White
79,37,Male,Research & Development,Research Director,No,7,3,3,13664,No,0,16,3,5,2,2,Jacques,Waters
80,46,Male,Human Resources,Human Resources,No,5,2,3,5021,Yes,1,16,2,4,2,2,Lance,Wisoky
81,30,Male,Research & Development,Laboratory Technician,No,1,2,2,5126,Yes,2,10,1,10,8,0,Jett,Kilback
82,35,Male,Research & Development,Research Scientist,No,1,1,2,2859,No,0,6,3,6,4,4,Erin,Prohaska
83,55,Male,Sales,Sales Executive,No,1,3,3,10239,No,1,24,4,1,0,0,Art,Gutmann
84,38,Female,Research & Development,Research Scientist,No,6,2,1,5329,Yes,3,17,3,13,11,9,Jessika,Hamill
85,34,Male,Research & Development,Manufacturing Director,No,1,2,3,4325,No,0,5,2,5,2,3,Evan,Champlin
86,56,Male,Research & Development,Manufacturing Director,No,7,3,1,7260,No,0,37,3,6,4,2,Bell,Rosenbaum
87,23,Male,Sales,Sales Representative,No,2,1,3,2322,No,1,3,3,0,0,0,Nat,Lynch
88,51,Male,Research & Development,Laboratory Technician,No,9,1,3,2075,No,2,10,4,4,2,3,Floy,Tromp
89,30,Male,Research & Development,Healthcare Representative,No,2,2,2,4152,No,3,11,3,11,10,8,Stanford,Gibson
90,46,Male,Sales,Sales Executive,Yes,9,3,2,9619,No,0,9,3,9,8,7,Murphy,Jast
91,40,Male,Research & Development,Healthcare Representative,No,1,4,2,13503,No,1,22,3,22,3,11,Clemens,Kassulke
92,51,Male,Sales,Sales Executive,No,21,2,3,5441,Yes,0,11,2,10,7,0,Archibald,Kulas
93,30,Female,Sales,Sales Executive,No,4,2,2,5209,Yes,3,11,4,11,8,7,Francisca,Volkman
94,46,Male,Research & Development,Healthcare Representative,No,1,3,2,10673,Yes,1,21,5,10,9,5,Devon,Brakus
95,32,Male,Sales,Sales Executive,No,6,2,3,5010,No,0,12,0,11,8,7,Karson,Wuckert
96,54,Female,Research & Development,Research Director,No,2,3,3,13549,No,1,16,5,4,3,3,Cheyenne,Steuber
97,24,Female,Sales,Sales Executive,No,3,2,3,4999,No,1,4,2,3,2,2,Winifred,Cassin
98,28,Male,Sales,Sales Executive,No,4,2,3,4221,No,0,5,3,5,4,4,Jaycee,Koelpin
99,58,Male,Sales,Sales Executive,No,10,4,3,13872,No,0,38,1,37,10,8,Zackery,Walter
100,44,Male,Research & Development,Laboratory Technician,No,23,2,3,2042,No,1,17,3,3,2,2,Chris,Kub
101,37,Male,Human Resources,Human Resources,Yes,6,1,3,2073,Yes,0,7,3,3,2,2,Emile,Conn
102,32,Male,Research & Development,Research Scientist,No,1,1,3,2956,No,0,1,2,1,0,0,Stanford,Schulist
103,20,Female,Research & Development,Laboratory Technician,Yes,6,1,2,2926,Yes,0,1,5,1,0,0,Eloise,Satterfield
104,34,Female,Research & Development,Research Scientist,No,6,2,3,4809,No,0,16,3,16,13,10,Elenora,Kub
105,37,Male,Research & Development,Healthcare Representative,No,2,2,2,5163,No,1,17,2,1,0,0,Ellis,Reynolds
106,59,Female,Human Resources,Manager,No,2,5,2,18844,No,1,30,3,3,2,2,Freda,Brown
107,50,Female,Research & Development,Research Director,No,1,5,3,18172,Yes,0,28,1,8,3,7,Katlynn,Roberts
108,25,Male,Sales,Sales Executive,Yes,5,2,2,5744,Yes,0,6,1,6,4,3,Trever,Ritchie
109,25,Male,Research & Development,Research Scientist,No,7,1,2,2889,No,2,2,2,2,2,1,Carmine,Ruecker
110,22,Female,Research & Development,Laboratory Technician,No,15,1,3,2871,No,0,1,5,0,0,0,Idella,Huels
111,51,Female,Research & Development,Healthcare Representative,No,1,3,2,7484,No,0,23,1,13,12,8,Savannah,Hill
112,34,Male,Research & Development,Laboratory Technician,Yes,7,2,1,6074,Yes,0,9,3,9,7,6,Dawson,Bins
113,54,Female,Human Resources,Manager,No,26,4,4,17328,Yes,0,23,3,5,3,4,Alexandrine,Ledner
114,24,Male,Research & Development,Laboratory Technician,No,18,1,3,2774,No,1,6,2,5,3,2,Mortimer,Hill
115,34,Female,Research & Development,Research Scientist,No,6,2,2,4505,No,1,12,3,1,0,0,Gia,White
116,37,Male,Sales,Sales Executive,No,3,3,3,7428,No,0,12,3,5,3,3,Gage,Gerhold
117,34,Female,Research & Development,Manager,No,5,3,2,11631,No,0,14,6,11,10,8,Aileen,Oberbrunner
118,36,Female,Sales,Sales Executive,No,11,3,3,9738,No,1,10,6,9,7,8,Abigale,Wuckert
119,36,Female,Research & Development,Laboratory Technician,No,3,1,3,2835,No,1,7,2,1,0,0,Nedra,Wintheiser
120,43,Male,Sales,Manager,No,26,4,3,16959,Yes,2,25,3,25,12,12,Jeramie,Ferry
121,30,Male,Research & Development,Research Scientist,No,23,1,1,2613,No,3,10,2,10,7,9,Darrell,Crona
122,33,Male,Sales,Sales Executive,No,22,2,3,6146,No,1,8,2,7,7,7,Jarvis,Abbott
123,56,Female,Research & Development,Research Scientist,Yes,14,1,3,4963,Yes,3,7,2,5,4,3,Emmy,Windler
124,51,Male,Research & Development,Research Director,No,6,5,3,19537,No,0,23,5,20,18,15,Hobart,Grant
125,31,Male,Sales,Sales Executive,Yes,6,2,1,6172,Yes,0,12,3,7,7,7,Kenyon,Padberg
126,26,Female,Research & Development,Research Scientist,No,6,1,2,2368,No,0,5,3,5,4,3,Asa,Predovic
127,58,Female,Research & Development,Healthcare Representative,Yes,23,3,3,10312,No,1,40,3,40,10,6,Brooke,Daniel
128,19,Male,Sales,Sales Representative,Yes,22,1,3,1675,Yes,0,0,2,0,0,0,Percy,DAmore
129,22,Male,Research & Development,Laboratory Technician,No,2,1,3,2523,No,1,3,2,2,1,1,Gus,Pollich
130,49,Female,Research & Development,Manufacturing Director,No,20,2,3,6567,No,0,16,2,15,11,11,Ellen,Green
131,43,Female,Research & Development,Research Scientist,No,28,1,4,4739,No,0,18,2,3,2,2,Deanna,Watsica
132,50,Female,Sales,Sales Executive,No,12,3,3,9208,No,0,16,3,2,2,1,Angie,Kshlerin
133,31,Female,Sales,Sales Executive,Yes,20,2,1,4559,Yes,1,4,2,2,2,2,Rosalee,Goyette
134,41,Male,Sales,Sales Executive,No,9,3,3,8189,Yes,1,12,2,9,7,7,Dominic,Zboncak
135,26,Female,Human Resources,Human Resources,No,25,1,3,2942,No,1,8,3,8,7,7,Vivianne,Bins
136,36,Male,Research & Development,Manufacturing Director,No,6,2,3,4941,No,2,7,0,3,2,1,Vinnie,Runte
137,51,Male,Research & Development,Manufacturing Director,Yes,8,3,1,10650,No,0,18,2,4,2,3,Brook,Yost
138,39,Female,Sales,Sales Executive,No,4,2,2,5902,No,1,17,1,15,11,9,Carli,Nicolas
139,25,Male,Sales,Sales Executive,No,28,2,2,8639,No,0,6,3,2,2,2,Pedro,Wehner
140,30,Male,Human Resources,Human Resources,No,9,2,3,6347,Yes,0,12,2,11,9,7,Liam,Toy
141,32,Female,Research & Development,Laboratory Technician,Yes,9,1,3,4200,No,0,10,2,5,4,4,Yasmine,Kirlin
142,45,Male,Research & Development,Research Scientist,No,29,1,3,3452,No,0,9,2,6,5,3,Lee,Hane
143,38,Female,Research & Development,Research Scientist,No,3,2,3,4317,Yes,0,19,2,3,2,2,Hertha,Cole
144,30,Female,Research & Development,Research Scientist,No,18,1,3,2632,No,0,5,4,5,4,4,Kylie,Bogan
145,32,Male,Sales,Sales Executive,No,9,2,1,4668,No,3,9,2,8,7,7,Maximillian,Haley
146,30,Female,Research & Development,Research Scientist,No,5,1,3,3204,No,1,8,3,3,2,2,Adeline,Wuckert
147,30,Male,Research & Development,Laboratory Technician,No,2,1,2,2720,No,0,6,3,5,3,2,Dangelo,Stanton
148,41,Male,Research & Development,Manager,No,10,4,2,17181,No,1,21,2,7,6,7,Elijah,Heaney
149,41,Male,Research & Development,Laboratory Technician,No,9,1,3,2238,No,1,7,2,5,0,4,Damion,Wyman
150,19,Female,Research & Development,Laboratory Technician,No,3,1,3,1483,No,0,1,3,1,0,0,Avis,Cartwright
151,40,Female,Research & Development,Research Scientist,No,26,2,3,5605,No,1,20,2,20,7,13,Astrid,Kunde
152,35,Male,Sales,Sales Executive,No,1,3,3,7295,No,2,10,3,10,8,6,Warren,Lemke
153,53,Male,Sales,Sales Representative,No,6,2,3,2306,Yes,1,13,3,7,7,5,Nikolas,Beahan
154,45,Male,Research & Development,Laboratory Technician,No,9,2,3,2348,No,1,20,2,17,9,15,Laurel,Erdman
155,32,Female,Sales,Sales Executive,No,8,3,3,8998,No,0,9,2,9,8,7,Jazmyne,Runte
156,29,Male,Research & Development,Manufacturing Director,No,1,2,3,4319,No,1,10,1,10,7,9,Keenan,Bartoletti
157,51,Male,Research & Development,Manufacturing Director,No,7,2,2,6132,No,0,10,2,1,0,0,Jesus,Roob
158,58,Female,Research & Development,Research Scientist,No,9,1,2,3346,Yes,1,9,3,1,0,0,Elisa,Schmidt
159,40,Male,Sales,Sales Executive,No,4,3,2,10855,No,1,15,2,12,11,11,Lucio,Farrell
160,34,Female,Sales,Sales Representative,No,2,1,3,2231,No,1,6,3,4,3,2,Ivah,OHara
161,22,Male,Research & Development,Research Scientist,No,19,1,3,2323,No,2,2,6,2,2,2,Wiley,Monahan
162,27,Male,Research & Development,Research Scientist,No,9,1,3,2024,No,1,6,1,2,2,2,Max,Schulist
163,28,Male,Research & Development,Research Scientist,No,21,1,3,2713,No,1,5,2,5,2,2,John,Schumm
164,57,Male,Research & Development,Healthcare Representative,No,24,3,4,9439,Yes,1,12,2,5,3,4,Justen,Pacocha
165,27,Male,Research & Development,Research Scientist,No,3,1,2,2566,Yes,1,1,2,1,1,1,Kennith,Schumm
166,50,Female,Research & Development,Manager,No,11,5,3,19926,No,0,21,5,5,4,4,Emmy,Lebsack
167,41,Male,Research & Development,Research Scientist,No,14,1,3,2451,No,1,13,2,9,8,8,Taylor,Mayert
168,30,Female,Sales,Sales Executive,No,5,3,3,9419,No,1,12,2,10,9,4,Kaela,Quigley
169,38,Female,Sales,Sales Executive,No,1,2,2,8686,No,0,12,2,8,3,7,Teresa,Schaden
170,32,Male,Research & Development,Research Scientist,No,6,1,3,3038,No,0,8,2,5,4,4,Harold,Padberg
171,27,Male,Research & Development,Research Scientist,No,17,1,3,3058,Yes,1,6,3,5,2,1,Clay,Hane
172,19,Female,Sales,Sales Representative,Yes,1,1,1,2325,No,0,1,5,0,0,0,Heaven,Dare
173,36,Male,Research & Development,Laboratory Technician,No,3,1,3,2088,No,0,13,3,8,7,2,Emilio,Flatley
174,30,Male,Research & Development,Laboratory Technician,No,9,2,3,3072,No,2,12,4,12,9,10,Dane,OConnell
175,45,Female,Sales,Sales Executive,No,4,2,3,5006,Yes,1,9,3,5,4,3,Monica,Gibson
176,56,Female,Research & Development,Research Scientist,No,8,1,3,4257,Yes,1,19,3,2,2,2,Lavina,Ankunding
177,33,Male,Research & Development,Research Scientist,No,2,1,3,2500,No,0,4,2,3,1,2,Newell,Murphy
178,19,Male,Research & Development,Laboratory Technician,Yes,2,1,2,1102,No,0,1,3,1,0,0,Raoul,Grady
179,46,Female,Sales,Sales Executive,No,1,3,3,10453,No,3,24,2,24,13,7,Catharine,Hermiston
180,38,Female,Research & Development,Laboratory Technician,No,9,1,3,2288,No,0,2,3,2,2,1,Hulda,Schmitt
181,31,Female,Research & Development,Research Scientist,No,12,1,3,3929,Yes,1,7,0,4,2,2,Amelia,Kessler
182,34,Female,Research & Development,Research Scientist,No,27,1,3,2311,No,0,9,3,3,2,2,Maymie,Weissnat
183,41,Female,Sales,Sales Representative,Yes,20,1,3,3140,Yes,0,4,5,4,3,2,Sarina,Macejkovic
184,50,Male,Research & Development,Laboratory Technician,No,1,1,2,3690,No,1,5,2,3,2,2,Johann,Farrell
185,53,Female,Research & Development,Manufacturing Director,No,13,2,4,4450,No,2,5,3,4,2,3,Eloise,Gutmann
186,33,Female,Research & Development,Research Scientist,No,14,1,3,2756,No,1,8,5,8,7,6,Dandre,Brown
187,40,Female,Research & Development,Manager,No,4,5,3,19033,No,1,21,2,20,8,9,Kariane,Stoltenberg
188,55,Male,Research & Development,Research Director,No,14,5,4,18722,No,0,36,3,24,15,15,Francesco,Orn
189,34,Male,Research & Development,Manufacturing Director,No,2,2,2,9547,No,0,10,2,10,9,9,Baylee,Labadie
190,51,Female,Research & Development,Healthcare Representative,No,3,4,3,13734,No,0,21,6,7,7,0,Maeve,Price
191,52,Male,Research & Development,Manager,No,1,5,2,19999,No,1,34,5,33,18,9,Dion,Dibbert
192,27,Female,Research & Development,Research Scientist,No,9,1,3,2279,No,0,7,2,7,7,3,Jane,Maggio
193,35,Male,Research & Development,Manufacturing Director,Yes,23,2,2,5916,Yes,0,8,1,1,0,1,Isadore,Rodriguez
194,43,Male,Research & Development,Research Scientist,No,7,1,4,2089,No,3,7,3,5,4,2,Adalberto,Bednar
195,45,Male,Research & Development,Manager,No,2,4,2,16792,No,1,22,1,20,8,8,Darius,Considine
196,37,Male,Research & Development,Research Scientist,No,21,1,4,3564,Yes,1,8,3,8,7,7,Robert,Bins
197,35,Female,Research & Development,Laboratory Technician,No,2,2,3,4425,No,0,10,5,6,2,2,Kiara,Shields
198,42,Female,Research & Development,Manufacturing Director,No,21,2,3,5265,No,1,11,5,5,3,2,Dayana,Tillman
199,38,Male,Research & Development,Manufacturing Director,No,2,2,3,6553,No,0,14,3,1,0,0,Freddy,Brakus
200,38,Male,Research & Development,Manufacturing Director,No,29,2,3,6261,No,1,9,3,7,7,7,Deion,Schiller
201,27,Male,Research & Development,Manufacturing Director,No,1,2,2,4298,No,1,6,1,2,2,0,Tyrell,Prohaska
202,49,Male,Research & Development,Manufacturing Director,No,18,2,3,6804,Yes,2,7,0,7,7,7,Austyn,Gleichner
203,34,Male,Research & Development,Research Scientist,No,10,1,3,3815,Yes,1,5,4,5,3,0,Woodrow,Gleichner
204,40,Male,Research & Development,Laboratory Technician,No,19,2,3,2741,Yes,1,15,2,7,2,7,Damon,Hand
205,38,Male,Research & Development,Healthcare Representative,Yes,29,2,3,6673,Yes,0,17,2,1,0,0,Blaise,Lang
206,29,Female,Sales,Sales Executive,Yes,27,3,3,7639,No,3,10,3,10,4,9,Jany,Predovic
207,22,Male,Research & Development,Research Scientist,No,5,1,4,2328,Yes,1,4,2,4,2,2,Sam,Klein
208,36,Female,Research & Development,Laboratory Technician,No,18,1,3,2153,No,0,8,2,8,1,7,Samantha,Okuneva
209,40,Male,Research & Development,Healthcare Representative,No,9,2,2,4876,No,1,5,5,3,2,2,Juvenal,Gusikowski
210,46,Male,Research & Development,Healthcare Representative,No,1,3,3,9396,No,1,17,3,4,2,3,Tobin,Beatty
211,32,Male,Sales,Sales Executive,Yes,4,3,1,10400,No,0,14,2,14,8,8,Paolo,Bradtke
212,30,Male,Research & Development,Manufacturing Director,No,1,3,2,8474,No,0,12,2,11,8,8,Elvis,Walsh
213,27,Female,Sales,Sales Executive,No,20,2,3,9981,No,0,7,2,7,7,7,Jackeline,Rath
214,51,Male,Research & Development,Research Director,No,8,3,2,12490,No,2,16,5,10,9,7,Ed,Fadel
215,30,Female,Research & Development,Research Scientist,Yes,3,1,3,2657,Yes,0,8,5,5,2,4,Trinity,Gulgowski
216,41,Female,Sales,Manager,No,6,3,3,13591,Yes,0,16,3,1,0,0,Stefanie,Mueller
217,30,Female,Sales,Sales Executive,Yes,26,2,2,6696,No,0,9,5,6,3,1,Tina,Powlowski
218,29,Male,Research & Development,Research Scientist,Yes,1,1,3,2058,No,0,7,1,6,2,5,Lamar,Olson
219,45,Female,Sales,Sales Executive,No,6,3,2,8865,No,0,23,2,19,7,8,Marisol,Wunsch
220,54,Female,Sales,Sales Executive,No,3,2,3,5940,No,1,16,4,6,2,5,Glenna,Grady
221,36,Male,Research & Development,Laboratory Technician,No,5,2,3,5914,No,0,16,3,13,11,7,Mohammad,Abbott
222,33,Female,Research & Development,Research Scientist,No,4,1,2,2622,No,0,7,3,3,2,1,Susie,Carroll
223,37,Male,Research & Development,Research Director,No,11,3,3,12185,Yes,3,10,1,10,8,7,Madison,Lindgren
224,38,Male,Sales,Sales Executive,No,3,3,3,10609,No,2,17,6,16,10,13,Avery,Kozey
225,31,Male,Research & Development,Manufacturing Director,No,1,2,1,4345,No,1,6,2,5,4,4,Joan,Dibbert
226,59,Male,Research & Development,Research Scientist,No,3,1,2,2177,No,1,7,6,1,0,0,Hilbert,Schinner
227,37,Male,Sales,Sales Representative,No,4,1,3,2793,No,1,13,2,9,8,8,Demarco,Botsford
228,29,Female,Sales,Sales Executive,No,1,3,3,7918,No,1,11,5,11,10,1,Josiane,Raynor
229,35,Female,Sales,Sales Executive,No,1,3,3,8789,No,0,10,3,10,7,8,Nora,OKeefe
230,29,Male,Research & Development,Research Scientist,Yes,18,1,2,2389,Yes,0,4,3,4,3,1,Arvid,Gibson
231,52,Female,Research & Development,Laboratory Technician,No,2,1,2,3212,No,0,6,3,2,2,2,Octavia,Swift
232,42,Male,Research & Development,Manager,No,4,5,3,19232,No,0,22,3,22,17,15,Jamar,Champlin
233,59,Male,Human Resources,Human Resources,No,6,1,3,2267,No,0,7,2,2,2,2,Gus,Grant
234,50,Female,Sales,Manager,No,1,5,3,19517,No,1,32,3,7,0,6,Grace,Lockman
235,33,Male,Research & Development,Laboratory Technician,Yes,14,1,3,2436,Yes,1,8,2,5,4,4,Alexandre,Abbott
236,43,Female,Sales,Manager,No,16,4,3,16064,Yes,1,22,3,17,13,9,Damaris,Sipes
237,33,Female,Research & Development,Laboratory Technician,Yes,2,1,3,2707,No,0,13,3,9,7,7,Scarlett,Lowe
238,52,Male,Sales,Manager,No,2,5,2,19068,Yes,0,33,2,33,7,12,Jesus,Beer
239,32,Female,Sales,Sales Representative,No,4,1,3,3931,No,1,6,5,4,3,2,Jeanie,Rosenbaum
240,32,Male,Research & Development,Laboratory Technician,Yes,1,1,2,3730,Yes,0,4,2,3,2,2,Ansel,Kassulke
241,39,Female,Research & Development,Laboratory Technician,No,1,1,3,2232,No,3,7,1,3,2,2,Yesenia,Parisian
242,32,Male,Sales,Sales Executive,No,26,2,3,4465,No,0,4,2,3,2,2,Blake,Rodriguez
243,41,Male,Research & Development,Research Scientist,No,19,2,3,3072,No,2,17,2,1,0,0,Tyler,Beahan
244,40,Male,Research & Development,Research Scientist,No,24,2,3,3319,No,2,9,3,9,8,7,Mustafa,Lemke
245,45,Male,Research & Development,Manager,No,1,5,4,19202,No,1,25,2,24,0,7,Kenton,Bailey
246,31,Male,Research & Development,Research Director,No,3,3,3,13675,No,1,9,3,2,2,2,Weston,Nolan
